 num     #instances         #bytes  class name (module)
 210:             2             48  java.util.regex.Pattern$$Lambda$19/0x800000029 (java.base@19.0.1)
 211:             2             48  java.util.regex.Pattern$$Lambda$21/0x800000031 (java.base@19.0.1)
 212:             3             48  java.util.regex.Pattern$BitClass (java.base@19.0.1)
 213:             2             48  jdk.internal.misc.Signal (java.base@19.0.1)
 214:             2             48  jdk.internal.misc.Signal$NativeHandler (java.base@19.0.1)
 215:             3             48  jdk.internal.module.ServicesCatalog (java.base@19.0.1)
 216:             3             48  jdk.internal.reflect.ReflectionFactory$GetReflectionFactoryAction (java.base@19.0.1)
 217:             3             48  jdk.internal.util.Preconditions$4 (java.base@19.0.1)
 218:             1             48  sun.nio.cs.SingleByte$Decoder (java.base@19.0.1)
 219:             1             40  [Ljava.lang.Thread$State; (java.base@19.0.1)
 220:             1             40  [Ljava.lang.invoke.VarHandle$AccessType; (java.base@19.0.1)
 221:             1             40  [[Ljava.lang.invoke.LambdaForm$Name; (java.base@19.0.1)
 222:             1             40  java.io.BufferedInputStream (java.base@19.0.1)
 223:             1             40  java.lang.ArithmeticException (java.base@19.0.1)
 224:             1             40  java.lang.Package$VersionInfo (java.base@19.0.1)
 225:             1             40  java.lang.VirtualMachineError (java.base@19.0.1)
 226:             1             40  java.lang.invoke.BoundMethodHandle$Species_L (java.base@19.0.1)
 227:             1             40  jdk.internal.loader.URLClassPath (java.base@19.0.1)
 228:             1             40  jdk.internal.ref.CleanerImpl$CleanerCleanable (java.base@19.0.1)
 229:             1             40  sun.nio.cs.StandardCharsets$Aliases (java.base@19.0.1)
 230:             1             40  sun.nio.cs.StandardCharsets$Cache (java.base@19.0.1)
 231:             1             40  sun.nio.cs.StandardCharsets$Classes (java.base@19.0.1)
 232:             1             40  sun.nio.cs.UTF_8$Decoder (java.base@19.0.1)
 233:             2             32  [Ljava.lang.StackTraceElement; (java.base@19.0.1)
 234:             1             32  [Ljava.lang.ThreadGroup; (java.base@19.0.1)
 235:             1             32  [Ljava.lang.module.ModuleDescriptor$Modifier; (java.base@19.0.1)
 236:             1             32  [Ljava.lang.module.ModuleDescriptor$Requires$Modifier; (java.base@19.0.1)
 237:             1             32  [Ljava.lang.ref.WeakReference; (java.base@19.0.1)
 238:             1             32  [Ljava.util.regex.Pattern$Qtype; (java.base@19.0.1)
 239:             1             32  [Ljdk.internal.module.ServicesCatalog; (java.base@19.0.1)
 240:             2             32  java.io.FileInputStream$1 (java.base@19.0.1)
 241:             1             32  java.io.WinNTFileSystem (java.base@19.0.1)
 242:             2             32  java.lang.Boolean (java.base@19.0.1)
 243:             1             32  java.lang.Module$ArchivedData (java.base@19.0.1)
 244:             1             32  java.lang.Package (java.base@19.0.1)
 245:             1             32  java.lang.invoke.MethodHandles$Lookup$ClassDefiner (java.base@19.0.1)
 246:             1             32  java.lang.module.ModuleDescriptor$Version (java.base@19.0.1)
 247:             2             32  java.lang.ref.NativeReferenceQueue$Lock (java.base@19.0.1)
 248:             2             32  java.nio.ByteOrder (java.base@19.0.1)
 249:             2             32  java.security.SecureClassLoader$CodeSourceKey (java.base@19.0.1)
 250:             1             32  java.util.Collections$UnmodifiableMap (java.base@19.0.1)
 251:             1             32  java.util.Formatter$FormatSpecifier (java.base@19.0.1)
 252:             1             32  java.util.HashMap$EntryIterator (java.base@19.0.1)
 253:             2             32  java.util.HashMap$KeySet (java.base@19.0.1)
 254:             1             32  java.util.ImmutableCollections$ListItr (java.base@19.0.1)
 255:             2             32  java.util.ImmutableCollections$MapN$1 (java.base@19.0.1)
 256:             2             32  java.util.concurrent.atomic.AtomicInteger (java.base@19.0.1)
 257:             1             32  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionNode (java.base@19.0.1)
 258:             1             32  jdk.internal.loader.ArchivedClassLoaders (java.base@19.0.1)
 259:             2             32  jdk.internal.loader.ClassLoaderValue (java.base@19.0.1)
 260:             1             32  jdk.internal.loader.URLClassPath$FileLoader (java.base@19.0.1)
 261:             1             32  jdk.internal.module.ArchivedModuleGraph (java.base@19.0.1)
 262:             1             32  jdk.internal.org.objectweb.asm.ConstantDynamic (java.base@19.0.1)
 263:             1             32  jdk.internal.org.objectweb.asm.Handle (java.base@19.0.1)
 264:             2             32  jdk.internal.vm.PostVMInitHook$1 (java.base@19.0.1)
 265:             1             24  [Ljava.io.File$PathStatus; (java.base@19.0.1)
 266:             1             24  [Ljava.lang.invoke.MethodHandles$Lookup$ClassOption; (java.base@19.0.1)
 267:             1             24  [Ljava.lang.reflect.Constructor; (java.base@19.0.1)
 268:             1             24  [Ljava.lang.reflect.Method; (java.base@19.0.1)
 269:             1             24  [Ljava.net.URL; (java.base@19.0.1)
 270:             1             24  [Ljava.util.Locale$Category; (java.base@19.0.1)
 271:             1             24  [Ljava.util.jar.Manifest; (java.base@19.0.1)
 272:             1             24  java.lang.Double (java.base@19.0.1)
 273:             1             24  java.lang.PublicMethods$MethodList (java.base@19.0.1)
 274:             1             24  java.lang.RuntimePermission (java.base@19.0.1)
 275:             1             24  java.lang.invoke.InvokerBytecodeGenerator$ClassData (java.base@19.0.1)
 276:             1             24  java.lang.invoke.LambdaFormEditor$TransformKey (java.base@19.0.1)
 277:             1             24  java.lang.invoke.MethodHandles$Lookup$ClassFile (java.base@19.0.1)
 278:             1             24  java.lang.invoke.MethodType$ConcurrentWeakInternSet (java.base@19.0.1)
 279:             1             24  java.security.BasicPermissionCollection (java.base@19.0.1)
 280:             1             24  java.security.Permissions (java.base@19.0.1)
 281:             1             24  java.util.AbstractMap$1$1 (java.base@19.0.1)
 282:             1             24  java.util.ArrayDeque (java.base@19.0.1)
 283:             1             24  java.util.Collections$EmptyMap (java.base@19.0.1)
 284:             1             24  java.util.Collections$SetFromMap (java.base@19.0.1)
 285:             1             24  java.util.Formatter (java.base@19.0.1)
 286:             1             24  java.util.Formatter$FixedString (java.base@19.0.1)
 287:             1             24  java.util.concurrent.ConcurrentHashMap$KeySetView (java.base@19.0.1)
 288:             1             24  java.util.regex.Pattern$Start (java.base@19.0.1)
 289:             1             24  java.util.regex.Pattern$TreeInfo (java.base@19.0.1)
 290:             1             24  jdk.internal.loader.URLClassPath$3 (java.base@19.0.1)
 291:             1             24  jdk.internal.module.ModuleHashes (java.base@19.0.1)
 292:             1             24  jdk.internal.module.ModuleHashes$Builder (java.base@19.0.1)
 293:             1             24  jdk.internal.module.SystemModuleFinders$SystemModuleFinder (java.base@19.0.1)
 294:             1             24  jdk.internal.ref.CleanerImpl (java.base@19.0.1)
 295:             1             24  jdk.internal.reflect.ReflectionFactory$Config (java.base@19.0.1)
 296:             1             24  sun.nio.cs.ISO_8859_1 (java.base@19.0.1)
 297:             1             24  sun.nio.cs.MS1252 (java.base@19.0.1)
 298:             1             24  sun.nio.cs.StandardCharsets (java.base@19.0.1)
 299:             1             24  sun.nio.cs.US_ASCII (java.base@19.0.1)
 300:             1             24  sun.nio.cs.UTF_16 (java.base@19.0.1)
 301:             1             24  sun.nio.cs.UTF_16BE (java.base@19.0.1)
 302:             1             24  sun.nio.cs.UTF_16LE (java.base@19.0.1)
 303:             1             24  sun.nio.cs.UTF_8 (java.base@19.0.1)
 304:             1             24  sun.security.util.LazyCodeSourcePermissionCollection (java.base@19.0.1)
 305:             1             16  [D (java.base@19.0.1)
 306:             1             16  [F (java.base@19.0.1)
 307:             1             16  [Ljava.lang.Throwable; (java.base@19.0.1)
 308:             1             16  [Ljava.security.cert.Certificate; (java.base@19.0.1)
 309:             1             16  com.verifieurfou.presentations.statique.StaticInitialization
 310:             1             16  java.io.FileDescriptor$1 (java.base@19.0.1)
 311:             1             16  java.io.PrintStream$1 (java.base@19.0.1)
 312:             1             16  java.lang.CharacterDataLatin1 (java.base@19.0.1)
 313:             1             16  java.lang.Class$1 (java.base@19.0.1)
 314:             1             16  java.lang.Float (java.base@19.0.1)
 315:             1             16  java.lang.ModuleLayer$Controller (java.base@19.0.1)
 316:             1             16  java.lang.Runtime (java.base@19.0.1)
 317:             1             16  java.lang.String$CaseInsensitiveComparator (java.base@19.0.1)
 318:             1             16  java.lang.System$2 (java.base@19.0.1)
 319:             1             16  java.lang.Terminator$1 (java.base@19.0.1)
 320:             1             16  java.lang.invoke.ClassSpecializer$1 (java.base@19.0.1)
 321:             1             16  java.lang.invoke.LambdaFormEditor (java.base@19.0.1)
 322:             1             16  java.lang.invoke.MemberName$Factory (java.base@19.0.1)
 323:             1             16  java.lang.invoke.MethodHandleImpl$1 (java.base@19.0.1)
 324:             1             16  java.lang.module.ModuleDescriptor$1 (java.base@19.0.1)
